Key,Value
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 BitsPerPixel,14
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 SizeT,1
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 SizeX,1216
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 SizeY,1028
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #01 SizeZ,26
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 BitsPerPixel,16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 DimensionOrder,XYCZT
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 IsInterleaved,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 IsRGB,false
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 LittleEndian,true
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 PixelType,uint16
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 SizeC,4
 218_5_SVZ_488EdU_CY3GFAP647GAD_Färbung2025-07_AcquisitionBlock3_pt3(1)-ApoTome RAW Convert-03.czi #02 SizeT,1
